Titulos,contenidos,Palabras claves
    Supervisor de transporte la lucha  ,Saludos nos encontramos en la búsqueda de supervisor de operaciones en la lucha Corregimiento de Sahagun Cordoba. Debe contar con experiencia en el sector de hidrocarburos o químico pues estará a cargo de la supervisión de la  operacion que está a su responsabilidad dentro del marco legal para la operación.Planeación de despachos y entregas de GNC,                                administracion de transporte                            
    Auxiliar de enfermeria oncología  ,"Reconocida entidad del sector de la salud, esta en la búsqueda de Auxiliares de enfermería  con experiencia de mínimo un año en el servicio de Oncología en instituciones de III Y IV nivel de complejidad. Importante contar con los siguientes cursos actualizados: BLS, ATENCIÓN A VICTIMAS DE VIOLENCIA SEXUAL, TOMA DE MUESTRAS.",                                auxiliar de enfermeria                            
    Project manager  ,En Cheil Colombia estamos en la búsqueda de nuestro próximo Project Manager!!!,                                ingeniería                            
    Ingeniero electricista  ,Postúlate como INGENIERO ELECTRICISTA para La universidad de La Salle ,                                ingeniera                            
    Especialista de atraccion del talento humano (cota) con ruta  ,"Importante empresa ubicada en Siberia del sector Retail se encuentra en búsqueda de Profesional en Psicología, administración de empresa o carreras a fines para desempeñarse como especialista de atracción del talento humano.",                                seleccion                            
    Analista sr. recaudos y pagos  ,"En Credicorp Capital buscamos Talento Excepcional para ocupar la posición de Analista Sr Recaudos y Pagos – Moneda Extranjera, cuyo objetivo es coordinar y supervisar la adecuada y oportuna ejecución de las operaciones de compra-venta de divisas realizadas con los clientes institucionales, corporativos y otros, de acuerdo con la normatividad internacional y de bancos del exterior.",                                moneda extranjera                            
    Analista de talento humano  ,"Importante empresa requiere, Asistente de talento humano y administrativa, con conocimientos contables y de SST. Experiencia mínima de 2 años, salario $ 1.800 x auxiliar de transporte + casino.",                                Tecnico                            
    Auxiliar de cartera -  teletrabajo temporal  ,"Se requiere técnico en áreas financieras, administrativas o afines con experiencia mínima de 1 año en servicio al cliente, crédito y cobranza. Salario: 1.200.000. Contrato: Termino fijo del 01 de febrero al 31 de marzo de 2023. Horario: lunes a viernes horario de oficina, en modalidad teletrabajo.        ",                                cartera                            
    Analista de urbanismo  ,"Buscamos Arquitecto, ingeniero civil, de construcción o a fines, con más de 2 años de experiencia en gestión y aprobación de trámites ante empresas de servicios públicos, tramite de licencias de urbanismo y construcción, procesos urbanísticos para proyectos de vivienda, con conocimientos en las siguientes herramientas: Autocad 2D, SINCO, Crew Core, Office, project, Argis, dinámico proactivo y organizado,        ",                                Autocad 2D                            
    Contador  planta industrial  ,"Importante empresa del sector Alimentos y Confitería busca para su equipo de trabajo profesional en contaduría que tenga estudios de posgrado y cuente con al menos 5 años de experiencia direccionando equipos de trabajo, que administre todo el tema de impuestos Nacionales, Municipales, Aduanales, y que maneje las NIF pues tendrá reportes a sede en Ecuador.",                                CONTADURIA                            
    Líder de recursos humanos  ,"Importante empresa del sector salud requiere para su equipo de trabajo LÍDER DE RECURSOS HUMANOS. Profesional en Ingeniería Industrial o Administración de Empresas con especialización en áreas administrativas. Experiencia mínima de 3 años en procesos de Gestión Humana, Contratación, Seguridad Social y Seguridad y Salud en el trabajo. Manejo de Indicadores y bases de datos de más de 2000 empleados, Excel avanzado y SAP. ",                                Recursos Humanos                            
    Cajero supernumerario en la ciudad de cali  ,"Importante empresa del sector financiero esta buscando bachiller con experiencia mínima de 1 año en atender las operaciones de giro, pago, recaudo, recarga y administración de cajas (manejo de efectivo), digitación de datos, protocolo de atención al cliente y agilidad para el conteo y cambio de dinero. labora a la semana 48 horas: UBICACION CALI, debe tener la disponibilidad para cubrir vacantes, vacios, incapacidades de los 5 puntos de atencion que tenemos ubicados en la ciudad de cali.        ",                                cajero                            
    B2+/c1 agente de servicio al cliente bilingüe - cuenta premium - 40 horas semanales y 2 días libres  ,Become part of this awesome company and enjoy our amazing benefits!  ,                                Agente de servicio al cliente                            
    Docente medio tiempo-centro  de pensamiento para el  emprendimiento  ,"La Fundación Universitaria Agraria de Colombia requiere Docente Medio Tiempo, para Centro de Pensamiento para Emprendimiento, Profesional en Administración o a fines, acreditar titulo de Maestría en áreas a fines a la formación de pregrado.",                                docente                            
    Abogado junior  ,"Importante constructora del País busca analista jurídico, profesional en derecho, con más de 2 años de experiencia en el manejo de elaboración y revisión de contratos comerciales, así como en la elaboración de documentos jurídicos( mandatos, minutas, poderes etc), revisión de procesos judiciales, garantizar el cumplimiento oportuno de respuestas de tutelas, derechos de petición a clientes,  conocimientos en derecho procesal y escrituración. Proactivo, dinámico, autónomo con alta capacidad de investigación y análisis.        ",                                Contratos Comerciales                            
    Coordinadora administrativa y de talento humano  ,"Importante empresa del sector Industrial Metalmecánico requiere vincular a su equipo de trabajo COORDINADOR ADMINISTRATIVO Y TALENTO HUMANO, profesional en Administración de Empresas, Ingeniería Industrial, Psicología o carreras administrativas. Con experiencia mínima de 2 años en recursos humanos,  en coordinación de áreas administrativas, procesos de facturación, gestión documental etc. Coordinación de recursos humanos: Procesos de selección, contratación, bienestar, desarrollo, nomina, SG -SST, formación, desarrollo y manejo de personal.   Horario: lunes a viernes de 7:45 a.m. a 5:45 p.m. presencial. Se ofrece alta estabilidad y proyección dentro de la compañía.        ",                                administrativo                            
    Ejecutiva de cuenta  ,"Clínica reconocida al norte de la ciudad,solicita un ejecutivo de cuentas con experiencia de un año en el sector salud. Contrato directo con la institución, el salario esta en el rango de 1´600 a 1´700 dependiendo de la experiencia y nivel académico del candidato, el horario es de 7:00 am a 5:00 pm y dos sábados al mes de 7:00 am y 12 m.",                                ejecutivo de cuenta                            
    Asesor de servicio al cliente  entidad financiera ¡contrato a termino indefinido!  ,¡Tú tienes el talento y te queremos a ti!,                                servicio al cliente                            
    Asesor backoffice / sede norte  ,¡Si cuentas con experiencia mínima de 3 meses certificados como asesor BackOffice call center  esta es la oportunidad de que hagas parte de nuestro maravilloso equipo contamos con excelentes beneficios y condiciones laborales APLICA YA!  ,                                excel                            
    Desarrollador senior react/ remoto  ,#FacTECH Busca tu talento.  ,                                Node js                            
    Diseñador  ,"¡Si eres Comunicador, Diseñador Visual, Diseñador Gráfico o Publicista!",                                diseño grafico                            
    Capitán de meseros urgente  ,"Prestigioso club  ubicado en el norte de la ciudad requiere para su equipo de trabajo JEFE DE SERVICIO, ",                                capitán                            
    Coordinador siso  ,"Se requiere Coordinador que diriga y controle las actividades de sistema de gestión de seguridad y salud en el trabajo, desarrollando programas, a fin de garantizar la prevención de accidentes, de enfermedades profesionales y de todo tipo de emergencias así como de mantener estilos de vida saludable y ambientes laborales sanos.        ",                                Coordinador                            
    Analista de desarrollo it  ,"Importante empresa del Sector industrial a nivel nacional. Requiere para la ciudad de barranquilla Personal con Estudios Tecnicos, Tecnologico o Profesional en ingenieria de sistemas, con experiencia mínima de 2 años, con dominio en el desarrollo de aplicaciones bajo PHP, HTML5, CSS3, angular, Java. Con excelente manejo de SQL SERVER, My SQL. Deseable conocimiento de aplicativo SIESA y manejo de Excel ",                                administrador de sistemas informaticos                            
    Tecnico de contratacion bogota  ,"Importante empresa del sector de dotación de personal y consultoría de Talento Humano busca para su equipo dé trabajo, técnico o tecnólogo en Gestión Humana  con 2 años de experiencia en el área de contratación de personal y seguridad Social.",                                tecnologo                            
"    Asistente administrativa (funza, madrid, mosquera)  ","Importante empresa del sector servicios empresariales, requiere para su equipo de trabajo técnico en áreas administrativas, para desempeñar el cargo de auxiliar administrativa, con experiencia mínima de 12 meses en   novedades de nomina, office, todo lo relacionado al área de recursos humanos, manejo de Excel avanzado, ",                                ASISTENTE ADMINISTRATIVO                            
    Auxiliar administrativa  ,"Se  requiere auxiliar administrativa con amplios coocimientos en nómina, contratación, seguridad y salud en el trabajo y manejo de personal temporal. Con competencias y habilidadades de comunicación , trabajo en equipo, vocación de servicio y trabajo al detalle. Preferiblemente que resida en el departamento del Huila.        ",                                auxiliar                            
    Analista de compras y logistica  ,"Se requiere  analista para el área de compras y logística, dentro de sus funciones especificas son :   Planificar  y apoyar las actividades de compras, almacenamiento y distribución de materiales y productos para garantizar la efectividad en las entregas y desarrollo en el procesos de Gestión Logística. ",                                administracion                            
    Desarrollador terraform iac azure  ,Ingeniero de sistemas o similar con alta experiencia en los siguientes temas,                                Terraform                            
    Jefe tramites inmobiliarios  ,"Garantizar y velar que todo el proceso de tramites legales de los proyectos tanto previos como posteriores de las ventas se lleven a cabo eficientemente y a tiempo según los cronogramas y metas definidas por la empresa, asegurando la satisfacción del comprador durante el proceso.",                                tramites                            
    Jefe sala de ventas soacha  ,"Importante empresa del sector de la Construcción, busca jefe de Sala de Ventas encargado de supervisar y dirigir las actividades de las salas de ventas en Soacha. Conocimiento en Vivienda VIS y no VIS, Coordinar y monitorear el trabajo de los asesores de la salas de ventas. Diseñar planes y estrategias de ventas para llevar a cabo una maximización en ventas inmobiliarias. Establecer metas u objetivos de ventas semanales, trimestrales, proponiendo y desarrollando estrategias nuevas e innovadoras para la consecución de las metas establecidas. Investigar e identificar las oportunidades de venta, generando indicadores y detectando clientes potenciales. Realizar reuniones con el área de Mercadeo para crear campañas y estrategias de ventas más efectivas, conocimientos en cambios y tendencias del mercado para poder desarrollar estrategias de ventas originales. Seguimiento a la competencia, así como a las nuevas tendencias. Presentación de informes a socios e inversionistas. excelente presentación personal, apasionado por las ventas.        ",                                Vivienda                            
    Ejecutivo comercial  ,Quieres pertenecer a un banco y adquirir experiencia en el área financiera esta oportunidad es para ti.,                                Tecnologo                            
    Alistadores de pintura - chia  ,"Importante empresa del sector automotriz ubicada en Bogota y Chia, requiere para su equipo de trabajo ALISTADORES DE PINTURA O PINTORES, ya sean bachilleres o que hayan cursado años anteriores, con experiencia mínima de 2 años en cargos similares",                                pintores                            
    Inspector ssta obra - madrid  ,Prestigiosa constructora del país se encuentra en búsqueda de Inspector SSTA Obras en  Madrid ,                                Inspector SSTA                            
    Maitre  senior  ,"IMPRESA IMPORTEN DE SECTOR DE ALIMENTOS Y SERVICIO    Estamos en búsqueda de MAITRE D´ , esta persona debe apoyar las siguientes funciones:",                                maitre                            
    Pintores - chia  ,"Importante empresa del sector automotriz ubicada en Bogota y Chia, requiere para su equipo de trabajo ALISTADORES DE PINTURA O PINTORES, ya sean bachilleres o que hayan cursado años anteriores, con experiencia mínima de 2 años en cargos similares",                                pintores                            
    Encargado/a de tienda en medellín  ,Reconocida empresa Española de moda se encuentra en búsqueda de Subgerente de tienda para su equipo de trabajo.,                                SUBGERENTE                            
    Analista de datos desde casa 1626183070.45  ,"Analista de datos, 1 año de experiencia en áreas de tecnología e innovación y en roles analista de datos, desarrollador/a BackEnd o ETL. ",                                Otra                            
    Profesional qa/qc - sector oil&gas - tumaco  ,"Importante empresa del sector se encuentra en busca de Profesional titulado en el área de Ingeniería civil, mecánica, metalúrgica o industrial o carreras afines, con experiencia general de mínimo 5 años y experiencia especifica comprobada de mínimo 3 años en el manejo de sistemas de gestión de calidad según ISO 9001, con conocimiento y participación en los procesos de certificación de precomisionamiento y/o comisionamiento en proyectos para la industria Oíl & y Gas. Base de trabajo Tumaco        ",                                CALIDAD                            
    Analista de tecnología e innovación - autocad  ,"¡HOLA, SOMOS TRADE ALLIANCE CORPORATION!",                                AUTOCAD                            
    Ejecutivo comercial  ,Quieres pertenecer a un banco y adquirir experiencia en el área financiera esta oportunidad es para ti.,                                Tecnologo                            
    Encargado/a de tienda en sopó  ,Reconocida empresa Española de moda se encuentra en búsqueda de Subgerente de tienda para su equipo de trabajo.,                                SUBGERENTE                            
    Ingeniero desarrollo java  ,"Empresa líder, dedicada al desarrollo, implementación y comercialización de soluciones innovadoras de software. Requiere ingeniero desarrollo para ejecutar las actividades necesarias para desarrollar aplicaciones en JAVA a la medida de los clientes de la compañía de acuerdo con los estándares de programación, las especificaciones funcionales entregadas por el cliente y trabajar en labores de soporte sobre los productos desarrollados. Contrato: Indefinido + prestaciones extralegales.",                                JAVA                            
    Contador publico  ,"Empresa al Norte de Bogotá, requiere Contador Público Titulado. Profesional con experiencia de 2 a 3 años en Gestión Contable, Ejecución, Revisión y Análisis de los procesos contables, Impuestos Distritales y Nacionales, excelente manejo de Retenciones, Iva, Ica, Medios Magnéticos, Inventarios, Facturación, Informes Financieros. Salario $2.500.000, más prestaciones de Ley. ",                                contador publico                            
    Auxiliar de enfermeria oncología  ,"Reconocida entidad del sector de la salud, esta en la búsqueda de Auxiliares de enfermería  con experiencia de mínimo un año en el servicio de Oncología en instituciones de III Y IV nivel de complejidad. Importante contar con los siguientes cursos actualizados: BLS, ATENCIÓN A VICTIMAS DE VIOLENCIA SEXUAL, TOMA DE MUESTRAS.",                                auxiliar de enfermeria                            
    Ejecutivo comercial  ,Quieres pertenecer a un banco y adquirir experiencia en el área financiera esta oportunidad es para ti.,                                Tecnologo                            
    Experto en excel  ,1. Experto en excel (gurú),                                administrador de sistemas informaticos                            
    Medico administrativo  ,"Asesorar tecnicamente el area de mercadeo, enfocando sus esfuerzos en la correcta aplicación de los conocimientos en farmacología, considerando las necesidades de los clientes y el portafolio de medicamentos de la compañía",                                Oncologia                            
    Auxiliar gestión administrativa  ,"Somos la FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA, Institución educativa líder en el mercado, desea incorporar un perfil de AUXILIAR GESTIÓN ADMINISTRATIVA ",                                CONTRATACIÓN                            
    Ejecutivo comercial  ,Quieres pertenecer a un banco y adquirir experiencia en el área financiera esta oportunidad es para ti.,                                Tecnologo                            
    Practicante bilingue psicologia-etapa de prácticas  ,Reclutamiento,                                aprendices                            
"    Supervisor de infraestructura it, bogotá  ","Multinacional italiana de logistica se encuentra en la búsqueda de supervisor de infraestructura IT profesional en ingeneria de sistemas o carreras afines con minimo 3 años de experiencia en el área siendo responsable por las actividades técnicas en el área de Tecnologías de la Información – TI, apoyando la planeación, organización y ejecución de asignaciones que involucran el desarrollo, implementación y acompañamiento de los proyectos de Infraestructura TI región andina y centro america, contribuyendo al crecimiento y desarrollo de la empresa.",                                infraestructura IT                            
    Agente call center cobranzas cartera administrativa  ,!Te necesitamos!,                                call center                            
    Presentadora  modelo/ juegos de casino/ medellin  ,Importante empresa reconocida del sector de entretenimiento busca para su equipo de trabajo PRESENTADORA  MODELO / JUEGOS DE CASINO/MEDELLIN,                                modelos                            
    Lider mantenimiento (consumo masivo alimentos)  ,"En nuestro equipo de trabajo Estamos en búsqueda de  profesional en carreras de ingeniería electromecánica, eléctrica, Electrónico, Mecatronico o a fines para liderar el  área de mantenimiento con la misión de garantizar la ejecución de los programas de mantenimiento preventivo, correctivo.",                                lider                            
    Tecnico de soporte sector hidrocarburos  ,"Empresa de tecnología esta en búsqueda de un Ingeniero en soporte en sitio para trabajar en campo petrolero. Tecnólogo o ingeniero carreras afines de sistemas con minino 2 años de experiencia en soporte Campo petrolera, se necesita liderazgo y compromiso, conocomimiento en áreas como redes, soporte en sitio, infraestructura, certificación Itil, preferiblemente manejo intermedio de inglés        ",                                redes                            
    Analista de mercadeo  ,"Importante constructora busca profesional en Ingeniería de Mercados, Publicidad y Mercadeo o afines con amplio conocimiento  en ATL, BTL, SEO, SEM, Redes Sociales, Pauta en Redes Sociales, Email Marketing, Marketing de contenidos, Marketing de Influencia  con más de 4 años de experiencia en implementar estrategias de marketing y publicidad creativas, innovadoras, estratégicas, eficaces y eficientes que permitan el lanzamiento, sostenimiento y finalización exitosa de los proyectos, desarrollar e implementar estrategias Digitales, ATL, BTL, B2B y demás aplicables a los proyectos en curso y nuevos proyectos, control de presupuesto,  gestionar la adecuación de las salas de ventas, apartamentos modelo, herramientas digitales y demás canales de atención de la compañía, Incluir dentro del plan de marketing de cada proyecto toda la estrategia 360° que incluya : SEO, SEM, Redes Sociales, Pauta en Redes Sociales, Email Marketing, Marketing de contenidos, Marketing de Influencia, ATL,  BTL.        ",                                BTL                            
    Docente de apoyo y acompañamiento a prácticas  ,"La Fundación Universitaria Agraria de Colombia requiere Docente Medio Tiempo, Profesional en medicina veterinaria o zootecnista con especialización o maestría en área relacionadas. ",                                Profesional en medicina veterinaria                            
    Director de proyectos / mercadeo / mercadotecnia / publicidad  ,"Importante empresa del sector de Mercadeo, esta en busqueda del mejor :  Director de Proyectos, si eres profesional en Mercadotecnia, Mercado o Publicidad esta es tu oportunidad. ",                                mercadotecnia                            
    Auxiliar de auditoría procesos  ,"se requiere tecnólogo en  administración de empresas, ingeniería industrial, con conocimientos en control interno, auditoria e inventario, con experiencia 1 año en auditoria de procesos, administrativas (áreas de la empresa), logística (inventarios, materias primas), auditoria en producción. Manejo de turnos rotativos de 8 a 12 horas dependiendo de la operación de lunes a sábado, contrato directo con la empresa, salario $1.500.000 + horas extras.        ",                                auditoria                            
    Analista tecnico/fullstack  ,"Importante empresa del sector de tecnologia requiere para su equipo de trabajo profesional titulado con tarjeta profesional deseable especialización  en carreras afines, Experiencia de 3 años  en proyectos de construcción de software, con rol de desarrollador. ",                                java                            
    Instrumentador (a) quirurgico (a)  ,"La Fundación Santa Fe de Bogotá requiere para su equipo de trabajo INSTRUMENTADOR/A QUIRURGICO/A, con mínimo 1 año de experiencia asistencial realizando funciones en la ejecución de procedimientos quirúrgicos seguros y eficientes, siguiendo las directrices, políticas y protocolos definidos institucionalmente. Debe contar con disponibilidad de tiempo completa ",                                instrumentador quirurgico                            
    Practicante tecnico o tecnólogo - tecnología y sistemas bogota  ,"¡En Unisys, Creemos en un futuro mejor!",                                practicante                            
    Agente call center cobranzas cartera administrativa  ,!Te necesitamos!,                                call center                            
    Auxiliar jurídico  ,Se requiere  estudiante de Derecho de séptimo semestre en adelante. Con 6 meses de experiencia labores afines al cargo.,                                aUXILIAR JURIDICO                            
    Analista de conciliaciones bilingüe (holcim abs) - frances b2  ,"Holcim ABS es el Centro de Servicios para las Américas del grupo Holcim, líder mundial en el diseño y fabricación de materiales y soluciones constructivas. Tenemos presencia global en más de 70 países, empleando a alrededor de 80.000 personas.",                                conciliaciones                            
    Coordinador administrador en salud - pasto  ,"¡Requerimos un Talento como el tuyo!  EPS, requiere para su equipo Medico   Especialista en Gerencia de Salud, Administración Hospitalaria, Auditoría Médica, Auditoría de Calidad y/o afines. ",                                coordinador gestión salud                            
    Consultor en sistemas integrados de gestión  ,"Profesional en Ingeniería industrial, con especialización en sistemas integrados de gestión, salud y seguridad en el trabajo o afines. Mínimo dos años  de experiencia ejecutando proyectos o asesoría empresariales. Preferiblemente con formación como auditor.        ",                                auditor                            
    Odontologo director comercial  ,"Reconocido grupo  del sector Salud  requiere para integrar a su equipo DIRECTOR COMERCIAL  PARA CLINICA DENTAL. Para Planear, dirigir, liderar y controlar la fuerza de venta interna y externa . Debe contar con especialización en áreas afines. Experiencia de 3 años en Dirección Comercial.",                                coordinador                            
    Técnico en atención pre hospitalario  ,"IPS de imágenes diagnosticas de la ciudad de Pereira, busca técnico en atención pre hospitalaria, con experiencia en el manejo de ambulancias y manejo de pacientes ambulatorios .Importane tener toda la documentación al día: atención a victimas de violencia sexual, RETHUS, atención integral a víctimas de ataques con agentes químicos y RCP. Contrato con todas las prestaciones de ley.  Sede de trabajo: Pereira, salario mínimo, mas prestaciones.        ",                                TAPH                            
    Analista de desarrollo de aplicaciones - medellín  ,¡Bienvenido a nuestro proceso de selección! ,                                postgres                            
    Auxiliar contable  ,Queremos ampliar nuestro equipo de trabajo con rol de Auxiliar Contable. ,                                contador                            
    Comercial it  ,"Técnico, tecnólogo, estudiante o profesional en carreras de comercio.",                                comercio                            
    Enfermera (o)  soporte y capacitación  historia clinica sistematizada  ,"Importante Clínica  privada de alta complejidad , requiere  profesional en ENFERMERIA   deseable con  especialización  administrativa ( gerencia, auditoria)   con  experiencia mínima de 6  meses  en proyectos de parametrización, capacitación  de Historia Clínica  Sistematizada deseable  en la Herramienta SERVINTE CLINICAL SUITE",                                ENFERMERA JEFE                            
    Analista contable - experiencia en fiduciarias  ,"Red Bogotá,",                                contabilidad                            
    We're looking for a bilingual quality analyst in barranquilla!  ,What are we looking for?,                                quality                            
    Enfermero jefe de cultura y formacion  ,"Importante empresa del sector salud requiere para el equipo de trabajo, Enfermero jefe de cultura y formación. ",                                enfermeros                            
    Comercial ejecutivo  ,"Ejecutiva comercial Regional Santanderes de tiempo completo, contratación en Bucaramanga ",                                comerciales                            
    Profesional diseño industrial  ,"Buscamos profesionales en diseño industrial, ingeniería de diseño, diseño de espacios o carreras afines para el desarrollo de procesos de producción, integración y montajes de escenarios museográficos, experiencias interactivas y espacios de aprendizaje.",                                Diseño industrial                            
    Montacarguista  ,"Tecnico en inventarios, logistica y/o carreras afines con conocimientos y certificado en Manejo y operación de montacargas ,control de inventarios        ",                                tecnico                            
    Gerente administrativo y comercial  ,Nos encontramos en la búsqueda de un líder estratégico para la Gerencia general de importante compañía del sector Agrícola.,                                Gerente administrativo y comercial                            
    Analista soporte lt/ calidad 27001  ,"Sinergy Lowells empresa líder en tecnología  , requiere para su equipo de trabajo, Tecnico O tecnologo de sistermas, tecnologo estudiante de ultimo semestre ",                                27001                            
    Analista de investigación y desarrollo de productos  ,"¿Has trabajado en procesos relacionados con materias primas nuevas (análisis, rotulado, almacenamiento, etc)?",                                cosmeticos                            
    Asesor comercial medicina prepagada  ,"Importante entidad de salud con presencia nacional e internacional  requiere de manera urgente Bachiller, Técnico o Tecnólogo  en carreras administrativas, para ocupar el cargo de Asesor comercial. Debe contar con Experiencia  mínima de 1 año en ventas tangibles e intangibles.",                                ventas                            
    Enfermera de gestion del riesgo  ,"Importante clínica  ubicada en el norte de la ciudad, requiere, profesional en enfermería especialista en epidemiologia, exp min 1 año en el cargo de enfermera de gestión de riesgo o cargos afines.",                                ENFERMERA ESPECIALISTA                            
    Analista de compras y logística con licencia b1 para guarne 1626313558.8  ,"Empresa de nutrición vegetal para el sector agro ubicada en Guarne, requiere para su equipo de trabajo analista de compras y logística con experiencia mínima de 2 años en el cargo.",                                Otra                            
    Asistente administrativo sogomaso  ,"Empresa de tecnología con presencia a nivel regional esta en la búsqueda de un Asistente administrativo  en Sogamoso  presencial ,tecnologo o profesional  recien graduado en áreas  contables y/o administrativas al menos 1 año de experiencia en procesos de facturación, presupuesto, contabilidad base, órdenes de salida, informes y pagos.El perfil contará con experiencia funcional en SAP ERP para desarrollar las actividades propias del cargo.        ",                                facturación                            
    Coordinador de oficina - armenia-rs-012356  ,"Importante empresa aseguradora de salud requiere para su equipo de trabajo COORDINADOR DE OFICINA debe ser profesional en áreas de salud, administrativas, mercadeo, ingenierías, o áreas afines, con especialización en áreas administrativas o áreas administrativas de salud, debe contar con tres (3) años de experiencia mínimo de 1 año en área de Servicio al cliente, administrativa y comercial, manejo de equipos de trabajo y clientes difíciles, implementación de herramientas de seguimiento, manejo de indicadores y estrategias de mejoramiento. Manejo de Herramientas Ofimáticas y paquete office, control y seguimiento de proceso de servicio, análisis y control de indicadores de gestión e indicadores comerciales con conocimientos y habilidades para conformar equipos de ventas altamente productivos, capacidad para analizar las habilidades comerciales en los vendedores, conocimiento de normatividad vigente Conocimiento de la ley 100, negociación y manejo de conflictos.",                                coordinador                            
    Consultor/a sql server - sas  ,"Requerimos profesionales en Ingeniería de Sistemas, Electrónica o carreras afines, con experiencia de  3 años implementando proyectos de automatización de Campañas para clientes, productos, transacciones, canales y segmentos. Debe conocer sobre implementaciones de SAS, Administración de campañas desde CRM y herramientas de automatización de flujos a través de journeys. Manejo de datos a través de office, SQL Server.        ",                                ingeniero                            
    Inspector de calidad o laboratorio  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo tecnólogo o profesional en calidad o laboratorio, con experiencia mínima de 2 años en procesos de calidad y cumplimiento de estándares de la norma, debe contar con experiencia y curso vigente en metodología. ",                                inspector de calidad                            
    Supervisor de ventas tat-  chia  ,Oferta laboral en ZIPAQUIRÁ- COGUA- CAJICÁ- NEMOCÓN- UBATÉ- TOCANCIPÁ,                                supervisor tat                            
    ¡reconocida multinacional busca un/a analista de selección bilingüe!  ,"Buscamos a profesionales graduados en áreas administrativas o afines, con un nivel de inglés B2 o B2+ y 6 meses de experiencia en áreas de reclutamiento y selección. Deseable experiencia en entrevistas por competencias y Assessment Center.",                                Selección                            
    Planeador de mantenimiento- parada de planta  ,"Importante empresa solicita Planeador de mantenimiento, con formación : PROFESIONAL EN INGENIERIAS O AFINES , INGENIERO ELECTROMECANICO, INGENIERIA DE ELECTRICIDAD, INGENIERO ELECTRICO, MECANICO, INSTRUMENTACION Y CONTROL con conocimiento en:",                                PLANEADOR DE MANTENIMIENTO                            
    Director técnico  ,"Importante empresa del sector farmacéutico requiere director tecnico que sea profesional químico farmacéutico, con experiencia en el sector de PRODUCCION FARMASEUTICA, con experiencia mínima de 3 AÑOS.",                                farmaceutico                            
    Auxiliar administrativo  ,"En Asesoftware seguimos creciendo y nos encontramos en la busqueda de nuestro porximo auxiliar administrativo responsable de llevar a cabo tareas administrativas y de apoyo en la oficina.  Puede incluir tareas como la gestión de correos electrónicos y llamadas telefónicas, la organización de archivos y documentos, proporcionar asistencia al personal de la empresa en actividades diarias que surjan en la compañia.",                                auxiliar administrativo                            
    Auxiliar jardinero  ,"La Universidad Santo Tomas seccional Bucaramanga, requiere Jardinero para desempeñar funciones de mantenimiento de zonas verdes, manejo de herramientas como cortacesped, guadaña, sopladora, cortacetos. Con disponibilidad de desempeñar labores en los diferentes campus de la Universidad en el área Metropolitana, cumpliendo un horario de lunes a sábado.",                                Jardinero                            
    Asesor comercial pac- 12302-manizales  ,"Importante empresa del sector salud requiere bachiller con experiencia mínima de 1 año en venta y comercialización de servicios o productos intangibles preferiblemente en aseguradoras, medicina prepagada, EPS o planes voluntarios de salud; prospección y relacionamiento con clientes empresariales, capacidad para comunicarse asertivamente con grupos de interés, habilidades para utilizar exitosamente modelos comerciales y de venta consultivo, conocimientos específicos y habilidades técnicas, manejo de herramientas comerciales, manejo básico de herramientas de office, tipo de contrato: indefinido. Salario: $ 1.526.000.oo+ Comisiones prestacionales sin techo.        ",                                comercial                            
    Operador de planta  ,"Importante empresa productora certificado en Colombia, para la venta de refrigerante Automotriz, para el consumo de las flotas, sistemas de transporte masivo y motores diésel con motores Euro 4, 5 y 6, requiere para su cede en Bogotá (Autopista medelllin Cl 80, km 7, Cundinamarca) un Operador de Planta.",                                Operador de planta                            
    Ingeniero sst  ,Importante compañía del sector colchonero requiere para su equipo de trabajo mínimo tecnico enfocado en sst con experiencia mínima de 3 años en todos los procesos de seguridad y salud en el trabajo con licencia HSQ vigente ,                                tecnico en sst                            
    Tecnico de soporte sogamoso  ,"Empresa de tecnología con presencia a nivel regional esta en búsqueda  de un analista de soporte para Sogamoso, técnico o tecnologo en sistemas o carreras afines con minimo un año de experiencia en soporte presencial a usuario final, manejo  casos que le son escalados por el analista de mesa de ayuda.        ",                                soporte en sitio                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
"    Analista logistico calle 80, funza, madrid, mosquera  ",Importante compañía del sector de telecomunicaciones requiere para su equipo de trabajo Analista de logística que tenga experiencia,                                logistica                            
    Analista contable 1626037973.42  ,"Reconocida empresa de comercio de ropa y artículos de moda, requiere incorporar a su equipo de trabajo un Tecnólogo en contabilidad o estudiante de mínimo 6° semestre de contaduría pública. Debe contar al menos con 12 meses de experiencia en la parte contable. ",                                Otra                            
